id;name;description;path;types
1;aboard advanced;though ah;drat er arrogantly;parade strange carefully
2;soften resize;microchip investment likewise;aha;into since easily
3;organisation excepting;considering tremendously;owlishly beneath;if encounter
4;once;arrogantly;if though monk;ick
5;regarding punctually wherever;quick whenever yahoo;whoa phew;ruby resident
6;wee charming versus;porthole pump;ah;expensive coordinated
7;informal maracas rigidly;balloon lest since;rabbi through amid;why right regularly
8;judicious sympathetically merrily;ick;compile indication;particle
9;faithfully musty;unless casket;lest hmph warmly;jagged properly
10;chairperson transaction;motive scarily golden;out thankfully;aside
