id;name;description;path;types
1;whopping;wassail;toward absent encamp;frequent ah
2;including;absent into qua;atop uh-huh rehabilitate;window around
3;besides vastly;warm;sometimes;blah
4;husky;accommodate stale;depress furthermore;among
5;opposite instead;exert;more;wafer soft
6;dreary phooey;against whose honestly;after blazer;pace jaggedly few
7;and inside;greedily dreamily shakily;yowza;immediate blackfish
8;to concrete dragonfly;most over immobilize;vent if stockpile;consequently well trace
9;beside content;boyhood supposing deliberately;gah quickly towards;throughout fatally mountain
10;times numeric;seriously;pristine woot ugh;yum
