id;title;creator;description;copyright;watch_link
1;although;when curiously;boohoo where arise;until;lazily
2;nearly;save elegantly belabor;lest gadzooks amused;incidentally because domesticate;briskly pooh or
3;aw punt within;minus;unto;remarry;for coolly mmm
4;yippee;ouch;intent geez;whether bah;limited
5;atop duh hence;anguished brr;pfft;like hmph upchange;nicely thunderous
6;afore er;although practise uniformity;broadly;than;sadly
7;absentmindedly;terribly leaf;mechanically inasmuch;ick;manoeuvre vacantly ouch
8;colorless until;uncertainty upliftingly;feather;correspond ick pro;badly deep
9;than unless underneath;solemnly whoa revolving;gah gosh;ah supplement espouse;whinny radio
10;runny aboard;woot ceremony hmph;material;out;however
