id;audience_feedback;related_videos
1;../fake-data/blob/hipster.txt;taper
2;../fake-data/blob/hipster.txt;unlike atop
3;../fake-data/blob/hipster.txt;or
4;../fake-data/blob/hipster.txt;incidentally aha huzzah
5;../fake-data/blob/hipster.txt;dull pace
6;../fake-data/blob/hipster.txt;incomplete outside into
7;../fake-data/blob/hipster.txt;duh blaze verbally
8;../fake-data/blob/hipster.txt;primary duckling although
9;../fake-data/blob/hipster.txt;though
10;../fake-data/blob/hipster.txt;as demoralize quaintly
