id;usage_type;usage_time;start_time;end_time
1;closely qua eek;22356;2024-03-16T10:25:05;2024-03-15T14:09:32
2;woot wherever;18571;2024-03-16T01:05:25;2024-03-16T10:28:56
3;or along;28335;2024-03-15T15:53:22;2024-03-15T13:00:16
4;internal;4435;2024-03-15T16:09:23;2024-03-16T09:13:43
5;oof gosh how;15425;2024-03-15T20:04:46;2024-03-15T13:33:43
6;poke ugh;32526;2024-03-15T11:51:49;2024-03-16T06:38:53
7;athwart and;7982;2024-03-16T09:39:04;2024-03-16T01:14:03
8;roster who;7205;2024-03-16T04:42:05;2024-03-15T18:51:04
9;defiantly;3459;2024-03-15T21:15:13;2024-03-16T02:23:46
10;vacantly;14666;2024-03-15T12:45:37;2024-03-16T10:28:53
