id;title;duration;format;resolution;published_date;description;viewing_link;creator_id;category_id;copyright_id
1;tea honest;wholly aha;loftily sizzle shoulder;inasmuch weird;2024-03-15;../fake-data/blob/hipster.txt;acupuncture void;1;1;1
2;flight;grenade;as but;resolve lively playfully;2024-03-15;../fake-data/blob/hipster.txt;sympathetically against contrail;2;2;2
3;immediately beyond;since and kiss;password decrease;fooey penalise circa;2024-03-15;../fake-data/blob/hipster.txt;will early ew;3;3;3
4;bode out while;where because why;cello forenenst;yowza;2024-03-15;../fake-data/blob/hipster.txt;ew;4;4;4
5;gadzooks;ha powerful abaft;revivify;lashes roasted incidentally;2024-03-15;../fake-data/blob/hipster.txt;gesture around;5;5;5
6;given than;hm tomorrow tomb;rotating;up queasily;2024-03-15;../fake-data/blob/hipster.txt;geez horsewhip excepting;6;6;6
7;save;pish woot;rigidly why daily;irritably sunny;2024-03-16;../fake-data/blob/hipster.txt;yuck;7;7;7
8;plus;anenst bassinet underneath;aw immigrate dugout;um however ouch;2024-03-16;../fake-data/blob/hipster.txt;generally amid fluid;8;8;8
9;likewise semester;open;timing;generous below abscond;2024-03-15;../fake-data/blob/hipster.txt;exaggerate poorly clever;9;9;9
10;gesture;notwithstanding what scented;after;why disgorge ladle;2024-03-16;../fake-data/blob/hipster.txt;discrete kiddingly;10;10;10
