id;name;identifier;beta_features;collaboration_cursor;default_export_visibility;public_access
1;cleverly fully;phew;false;true;false;true
2;apropos blah buzzing;scarf accomplished;false;false;false;false
3;consequently overuse booster;against envy till;false;false;false;true
4;worth;shroud;false;true;false;false
5;instead;hm etch;true;false;false;true
6;if imaginative;gee belligerency;false;true;true;false
7;aha;bowl;false;true;true;false
8;abaft slim;requirement about;false;true;true;false
9;emigrate belfry;down brr;true;true;false;false
10;spurt finally if;nod where ah;false;false;false;true
